DAGNR,WEEK_DAG_NR,TRAJECT,DAGDEELTREIN,TREINSERIEBASIS,PLANTIJD_VERTREK,UITVOERTIJD_AANKOMST,UITVOERTIJD_VERTREK,BEWEGINGNUMMER,REALISATIE,PROGNOSE_REIZEN,AFWIJKING
1,6,Es_Hgl,Weekend,1600,13:16:00.000,13:23:01.000,13:16:32.000,1648,252.03099048,224.81343,-0.1080041521
1,6,Hgl_Aml,Weekend,1600,13:24:00.000,13:33:44.000,13:24:36.000,1648,322.71351272,282.82303,-0.1236196307
1,6,Aml_Dv,Weekend,1600,13:36:00.000,13:58:14.000,13:36:14.000,1648,333.95377912,310.01503,-0.0716884521
1,6,Dv_Apd,Weekend,1600,14:03:00.000,14:13:39.000,14:04:17.000,1648,469.27621736,467.72863,-0.0032980019
1,6,Apd_Amf,Weekend,1600,14:14:00.000,14:37:43.000,14:15:55.000,1648,521.52292616,560.18143,0.0741299113
1,6,Amf_Hvs,Weekend,1600,14:41:00.000,14:51:44.000,14:41:09.000,1648,196.15868168,290.07423,0.4788373750
1,6,Hvs_Dvd,Weekend,1600,14:55:00.000,15:09:41.000,14:55:18.000,1648,201.27349688,369.83743,0.8375961360
1,6,Dvd_Asdz,Weekend,1600,15:10:00.000,15:14:57.000,15:10:32.000,1648,170.92595592,270.13343,0.5805010719
1,6,Asdz_Shl,Weekend,1600,15:16:00.000,15:21:59.000,15:16:21.000,1648,110.90106616,123.29663,0.1117978098
1,6,Shl_Asdz,Weekend,1600,13:38:00.000,13:46:07.000,13:40:24.000,1649,223.79010440,235.69023,0.0531816212
1,6,Asdz_Dvd,Weekend,1600,13:45:00.000,13:51:38.000,13:47:29.000,1649,329.42884904,351.70943,0.0676393558
1,6,Dvd_Hvs,Weekend,1600,13:50:00.000,14:06:29.000,13:52:32.000,1649,363.02057688,406.09343,0.1186598455
1,6,Hvs_Amf,Weekend,1600,14:07:00.000,14:18:49.000,14:08:07.000,1649,319.37179720,398.84223,0.2488540345
1,6,Amf_Apd,Weekend,1600,14:22:00.000,14:45:03.000,14:22:34.000,1649,556.27466472,552.93023,-0.0060124838
1,6,Apd_Dv,Weekend,1600,14:47:00.000,14:56:06.000,14:47:19.000,1649,470.35175160,378.90143,-0.1944404830
1,6,Dv_Aml,Weekend,1600,15:01:00.000,15:23:00.000,15:01:35.000,1649,341.30957768,253.81823,-0.2563598496
1,6,Aml_Hgl,Weekend,1600,15:25:00.000,15:34:57.000,15:25:49.000,1649,332.20859656,241.12863,-0.2741866388
1,6,Hgl_Es,Weekend,1600,15:37:00.000,15:43:58.000,15:37:33.000,1649,215.76211960,197.62143,-0.0840874907
1,6,Es_Hgl,Weekend,1600,14:16:00.000,14:22:56.000,14:16:15.000,1652,218.23912952,188.55743,-0.1360217457
1,6,Hgl_Aml,Weekend,1600,14:24:00.000,14:34:50.000,14:24:12.000,1652,213.07301208,232.06463,0.0891429466
1,6,Aml_Dv,Weekend,1600,14:36:00.000,14:59:41.000,14:36:13.000,1652,228.11925208,241.12863,0.0570354051
1,6,Dv_Apd,Weekend,1600,15:03:00.000,15:12:59.000,15:03:14.000,1652,356.08661688,353.52223,-0.0072021123
1,6,Apd_Amf,Weekend,1600,15:14:00.000,15:37:52.000,15:14:23.000,1652,362.10855720,415.15743,0.1465105276
1,6,Amf_Hvs,Weekend,1600,15:41:00.000,15:52:33.000,15:41:24.000,1652,227.87724328,255.63103,0.1218067294
1,6,Hvs_Dvd,Weekend,1600,15:55:00.000,16:09:16.000,15:55:28.000,1652,259.63459880,324.51743,0.2499258075
1,6,Dvd_Asdz,Weekend,1600,16:10:00.000,16:14:53.000,16:10:28.000,1652,215.30638168,253.81823,0.1788917744
1,6,Asdz_Shl,Weekend,1600,16:16:00.000,16:22:15.000,16:16:13.000,1652,169.15557544,125.10943,-0.2604287584
1,6,Shl_Asdz,Weekend,1600,14:38:00.000,14:43:34.000,14:37:58.000,1653,285.75106456,242.94143,-0.1498281892
1,6,Asdz_Dvd,Weekend,1600,14:45:00.000,14:49:29.000,14:45:14.000,1653,371.63627144,333.58143,-0.1024053099
1,6,Dvd_Hvs,Weekend,1600,14:50:00.000,15:05:45.000,14:50:38.000,1653,381.21347512,386.15263,0.0129572931
1,6,Hvs_Amf,Weekend,1600,15:07:00.000,15:18:34.000,15:07:42.000,1653,358.02866952,409.71903,0.1443854979
1,6,Amf_Apd,Weekend,1600,15:22:00.000,15:45:42.000,15:21:49.000,1653,389.34732744,607.31423,0.5598640916
1,6,Apd_Dv,Weekend,1600,15:47:00.000,15:56:59.000,15:47:29.000,1653,339.78193112,426.03423,0.2538656411
1,6,Dv_Aml,Weekend,1600,16:01:00.000,16:23:49.000,16:01:11.000,1653,206.92236296,281.01023,0.3580920821
1,6,Aml_Hgl,Weekend,1600,16:25:00.000,16:35:01.000,16:25:37.000,1653,199.41845864,244.75423,0.2273698011
1,6,Hgl_Es,Weekend,1600,16:37:00.000,16:43:50.000,16:37:01.000,1653,177.44822904,192.18303,0.0830494586
